Metagene	Cell type	Immunity	
ADAM28	Activated B cell	Adaptive	Charoentong
CD180	Activated B cell	Adaptive	Charoentong
CD79B	Activated B cell	Adaptive	Charoentong
BLK	Activated B cell	Adaptive	Charoentong
CD19	Activated B cell	Adaptive	Charoentong
MS4A1	Activated B cell	Adaptive	Charoentong
TNFRSF17	Activated B cell	Adaptive	Charoentong
IGHM	Activated B cell	Adaptive	Charoentong
GNG7	Activated B cell	Adaptive	Charoentong
MICAL3	Activated B cell	Adaptive	Charoentong
SPIB	Activated B cell	Adaptive	Charoentong
HLA-DOB	Activated B cell	Adaptive	Charoentong
IGKC	Activated B cell	Adaptive	Charoentong
PNOC	Activated B cell	Adaptive	Charoentong
FCRL2	Activated B cell	Adaptive	Charoentong
BACH2	Activated B cell	Adaptive	Charoentong
CR2	Activated B cell	Adaptive	Charoentong
TCL1A	Activated B cell	Adaptive	Charoentong
AKNA	Activated B cell	Adaptive	Charoentong
ARHGAP25	Activated B cell	Adaptive	Charoentong
CCL21	Activated B cell	Adaptive	Charoentong
CD27	Activated B cell	Adaptive	Charoentong
CD38	Activated B cell	Adaptive	Charoentong
CLEC17A	Activated B cell	Adaptive	Charoentong
CLEC9A	Activated B cell	Adaptive	Charoentong
CLECL1	Activated B cell	Adaptive	Charoentong
AIM2	Activated CD4 T cell	Adaptive	Charoentong
BIRC3	Activated CD4 T cell	Adaptive	Charoentong
BRIP1	Activated CD4 T cell	Adaptive	Charoentong
CCL20	Activated CD4 T cell	Adaptive	Charoentong
CCL4	Activated CD4 T cell	Adaptive	Charoentong
CCL5	Activated CD4 T cell	Adaptive	Charoentong
CCNB1	Activated CD4 T cell	Adaptive	Charoentong
CCR7	Activated CD4 T cell	Adaptive	Charoentong
DUSP2	Activated CD4 T cell	Adaptive	Charoentong
ESCO2	Activated CD4 T cell	Adaptive	Charoentong
ETS1	Activated CD4 T cell	Adaptive	Charoentong
EXO1	Activated CD4 T cell	Adaptive	Charoentong
EXOC6	Activated CD4 T cell	Adaptive	Charoentong
IARS	Activated CD4 T cell	Adaptive	Charoentong
ITK	Activated CD4 T cell	Adaptive	Charoentong
KIF11	Activated CD4 T cell	Adaptive	Charoentong
KNTC1	Activated CD4 T cell	Adaptive	Charoentong
NUF2	Activated CD4 T cell	Adaptive	Charoentong
PRC1	Activated CD4 T cell	Adaptive	Charoentong
PSAT1	Activated CD4 T cell	Adaptive	Charoentong
RGS1	Activated CD4 T cell	Adaptive	Charoentong
RTKN2	Activated CD4 T cell	Adaptive	Charoentong
SAMSN1	Activated CD4 T cell	Adaptive	Charoentong
SELL	Activated CD4 T cell	Adaptive	Charoentong
TRAT1	Activated CD4 T cell	Adaptive	Charoentong
ADRM1	Activated CD8 T cell	Adaptive	Charoentong
AHSA1	Activated CD8 T cell	Adaptive	Charoentong
C1GALT1C1	Activated CD8 T cell	Adaptive	Charoentong
CCT6B	Activated CD8 T cell	Adaptive	Charoentong
CD37	Activated CD8 T cell	Adaptive	Charoentong
CD3D	Activated CD8 T cell	Adaptive	Charoentong
CD3E	Activated CD8 T cell	Adaptive	Charoentong
CD3G	Activated CD8 T cell	Adaptive	Charoentong
CD69	Activated CD8 T cell	Adaptive	Charoentong
CD8A	Activated CD8 T cell	Adaptive	Charoentong
CETN3	Activated CD8 T cell	Adaptive	Charoentong
CSE1L	Activated CD8 T cell	Adaptive	Charoentong
GEMIN6	Activated CD8 T cell	Adaptive	Charoentong
GNLY	Activated CD8 T cell	Adaptive	Charoentong
GPT2	Activated CD8 T cell	Adaptive	Charoentong
GZMA	Activated CD8 T cell	Adaptive	Charoentong
GZMH	Activated CD8 T cell	Adaptive	Charoentong
GZMK	Activated CD8 T cell	Adaptive	Charoentong
IL2RB	Activated CD8 T cell	Adaptive	Charoentong
LCK	Activated CD8 T cell	Adaptive	Charoentong
MPZL1	Activated CD8 T cell	Adaptive	Charoentong
NKG7	Activated CD8 T cell	Adaptive	Charoentong
PIK3IP1	Activated CD8 T cell	Adaptive	Charoentong
PTRH2	Activated CD8 T cell	Adaptive	Charoentong
TIMM13	Activated CD8 T cell	Adaptive	Charoentong
ZAP70	Activated CD8 T cell	Adaptive	Charoentong
ABCD1	Activated dendritic cell	Innate	Charoentong
C1QC	Activated dendritic cell	Innate	Charoentong
CAPG	Activated dendritic cell	Innate	Charoentong
CCL3L3	Activated dendritic cell	Innate	Charoentong
CD207	Activated dendritic cell	Innate	Charoentong
CD302	Activated dendritic cell	Innate	Charoentong
ATP5B	Activated dendritic cell	Innate	Charoentong
ATP5L	Activated dendritic cell	Innate	Charoentong
ATP6V1A	Activated dendritic cell	Innate	Charoentong
BCL2L1	Activated dendritic cell	Innate	Charoentong
