Ensembl_ID	Symbol	chrom	chromStart	chromEnd	ClassType
ENSG00000092847.9	AGO1	chr1	35869808	35929610	protein_coding
ENSG00000180096.10	SEPT1	chr16	30378133	30395991	protein_coding
ENSG00000123908.10	AGO2	chr8	140520156	140635619	protein_coding
ENSG00000168385.16	SEPT2	chr2	241315100	241354027	protein_coding
ENSG00000126070.17	AGO3	chr1	35930718	36072500	protein_coding
ENSG00000100167.18	SEPT3	chr22	41976272	41998221	protein_coding
ENSG00000134698.10	AGO4	chr1	35808172	35857890	protein_coding
ENSG00000108387.13	SEPT4	chr17	58520250	58540818	protein_coding
ENSG00000184702.16	SEPT5	chr22	19714464	19724772	protein_coding
ENSG00000125354.21	SEPTIN6	chrX	119615724	119693370	protein_coding
ENSG00000122545.16	SEPT7	chr7	35800932	35907105	protein_coding
ENSG00000164402.12	SEPT8	chr5	132750817	132807241	protein_coding
ENSG00000184640.16	SEPT9	chr17	77280569	77500596	protein_coding
ENSG00000186522.13	SEPT10	chr2	109542982	109614206	protein_coding
ENSG00000138758.10	SEPTIN11	chr4	76949703	77040384	protein_coding
ENSG00000140623.12	SEPTIN11	chr16	4777669	4788521	protein_coding
ENSG00000154997.8	SEPT14	chr7	55793544	55862789	protein_coding
ENSG00000183291.14	SEP15	chr1	86862445	86914424	protein_coding
ENSG00000148584.13	A1CF	chr10	50799409	50885675	protein_coding
ENSG00000175899.13	A2M	chr12	9067664	9116229	protein_coding
ENSG00000166535.18	A2ML1	chr12	8822472	8887001	protein_coding
ENSG00000184389.9	A3GALT2	chr1	33306766	33321098	protein_coding
ENSG00000128274.14	A4GALT	chr22	42692121	42721298	protein_coding
ENSG00000118017.3	A4GNT	chr3	138123718	138132387	protein_coding
ENSG00000094914.11	AAAS	chr12	53307456	53324864	protein_coding
ENSG00000081760.15	AACS	chr12	125065379	125143333	protein_coding
ENSG00000114771.12	AADAC	chr3	151814037	151828488	protein_coding
ENSG00000197953.5	AADACL2	chr3	151733916	151761339	protein_coding
ENSG00000188984.10	AADACL3	chr1	12716115	12728759	protein_coding
ENSG00000204518.2	AADACL4	chr1	12644547	12667086	protein_coding
ENSG00000109576.12	AADAT	chr4	170060222	170091699	protein_coding
ENSG00000158122.10	AAED1	chr9	96639577	96655303	protein_coding
ENSG00000103591.11	AAGAB	chr15	67201033	67255195	protein_coding
ENSG00000115977.17	AAK1	chr2	69457997	69674349	protein_coding
ENSG00000087884.13	AAMDC	chr11	77821109	77918432	protein_coding
ENSG00000127837.8	AAMP	chr2	218264123	218270257	protein_coding
ENSG00000129673.8	AANAT	chr17	76453351	76470117	protein_coding
ENSG00000131043.10	AAR2	chr20	36236459	36270918	protein_coding
ENSG00000205002.3	AARD	chr8	116938199	116944487	protein_coding
ENSG00000090861.14	AARS	chr16	70252295	70289543	protein_coding
ENSG00000124608.4	AARS2	chr6	44299654	44313326	protein_coding
ENSG00000157426.12	AASDH	chr4	56338287	56387508	protein_coding
ENSG00000149313.9	AASDHPPT	chr11	106075501	106098710	protein_coding
ENSG00000008311.13	AASS	chr7	122075647	122144280	protein_coding
ENSG00000275700.3	AATF	chr17	36948875	37056871	protein_coding
